date,sentiment_financial,oil_relevance_financial,news_count_financial,positive_prob_financial,neutral_prob_financial,negative_prob_financial
2007-08-09,-0.13855724972672762,1.7,20,0.24591105584986508,0.3696206506341696,0.3844683055765927
2007-08-15,-0.9597333036363125,2.0,1,0.009012583643198013,0.022241592407226562,0.9687458872795105
2007-08-20,0.8692273003980517,2.0,1,0.8819859623908997,0.10525545477867126,0.01275866199284792
2007-09-05,-0.3270864859223366,2.0,1,0.07473780959844589,0.5234379172325134,0.40182429552078247
2007-09-17,0.0036520808935165405,2.0,1,0.03862644359469414,0.9263992309570312,0.0349743627011776
2007-10-01,-0.5087222307920456,2.0,1,0.16094286739826202,0.16939207911491394,0.6696650981903076
2007-10-11,-0.007117606699466705,2.0,1,0.022525278851389885,0.9478318095207214,0.02964288555085659
2007-10-22,0.6347435116767883,2.0,1,0.6709599494934082,0.29282358288764954,0.03621643781661987
2007-10-31,0.14320071041584015,2.0,1,0.3133349120616913,0.5165308713912964,0.17013420164585114
2007-11-04,0.04458650201559067,1.0,1,0.13010132312774658,0.7843839526176453,0.08551482111215591
2007-11-06,-0.5083550959825516,3.0,1,0.2088327258825302,0.07397942990064621,0.7171878218650818
2007-11-08,-0.9501478271558881,2.0,1,0.011785606853663921,0.026280978694558144,0.961933434009552
2007-11-26,0.17609672248363495,1.0,1,0.22785250842571259,0.7203916907310486,0.05175578594207764
2007-12-05,-0.060788542963564396,1.0,2,0.3567255139350891,0.2257604356855154,0.4175140568986535
2007-12-06,-0.19416579604148865,3.0,1,0.3164699375629425,0.1728944033384323,0.5106357336044312
2007-12-08,-0.7697723787277937,3.0,1,0.01712140627205372,0.1959848254919052,0.7868937849998474
2007-12-12,0.11354965157806873,2.0,1,0.12875638902187347,0.8560368418693542,0.015206737443804741
2007-12-14,0.6085973409935832,2.0,1,0.6182570457458496,0.37208327651023865,0.009659704752266407
2008-01-07,-0.9153543887659907,2.0,1,0.012791258282959461,0.05906309187412262,0.9281456470489502
2008-01-16,-0.017362749204039574,2.0,2,0.21923630684614182,0.5441646426916122,0.2365990560501814
2008-01-22,-0.9296737900003791,1.5,2,0.017706782557070255,0.034912616945803165,0.9473805725574493
2008-01-29,0.8992817420512438,2.0,1,0.909197211265564,0.0808873251080513,0.009915469214320183
2008-02-20,-0.05216582119464874,1.0,1,0.21214281022548676,0.5235485434532166,0.2643086314201355
2008-02-21,0.10148307681083679,2.0,1,0.5283804535865784,0.04472214728593826,0.4268973767757416
2008-02-26,-0.9116092175245285,3.0,1,0.03535665571689606,0.017677415162324905,0.9469658732414246
2008-03-06,0.9311377163976431,1.0,1,0.9514964818954468,0.02814481593668461,0.020358765497803688
2008-03-07,-0.6435131877660751,2.0,1,0.06589974462985992,0.22468726336956024,0.7094129323959351
2008-03-10,-0.6002942621707916,3.0,1,0.18399980664253235,0.03170611336827278,0.784294068813324
2008-04-08,0.03948090225458145,1.0,1,0.11155803501605988,0.8163648247718811,0.07207713276147842
2008-04-24,-0.4673142214305699,1.5,2,0.02770414063706994,0.47727750055491924,0.4950183620676398
2008-04-25,0.8088513240218163,2.0,1,0.8281179666519165,0.15261541306972504,0.01926664263010025
2008-04-28,0.841468058526516,3.0,1,0.8982934355735779,0.04488125070929527,0.05682537704706192
2008-05-06,0.7382123367860913,1.0,1,0.7491607666015625,0.23989082872867584,0.010948429815471172
2008-05-07,-0.09547613374888897,1.5,2,0.37491448409855366,0.15469491109251976,0.4703906178474426
2008-05-09,-0.8914512433111668,3.0,1,0.0328897200524807,0.04276922717690468,0.9243409633636475
2008-05-13,-0.004564560949802399,1.0,1,0.08983912318944931,0.815757155418396,0.09440368413925171
2008-05-14,-0.03198522329330444,1.0,1,0.026614628732204437,0.9147855043411255,0.05859985202550888
2008-05-20,-0.3861948102712631,1.0,1,0.1407402902841568,0.33232465386390686,0.5269351005554199
