date,sentiment_geopolitical,oil_relevance_geopolitical,news_count_geopolitical,positive_prob_geopolitical,neutral_prob_geopolitical,negative_prob_geopolitical
2007-08-09,-0.06612961436621845,1.7115384615384615,52,0.20737453139960194,0.5191213221360857,0.2735041457658204
2007-08-13,0.048347197473049164,1.0,1,0.06565086543560028,0.9170454144477844,0.017303667962551117
2007-08-15,-0.2818808990220229,1.6666666666666667,3,0.05671293040116628,0.6046932737032572,0.33859382942318916
2007-08-18,-0.2027595229446888,1.0,1,0.0513518862426281,0.6945366263389587,0.2541114091873169
2007-08-20,0.8692273003980517,2.0,1,0.8819859623908997,0.10525545477867126,0.01275866199284792
2007-09-04,-0.5366315934807062,1.5,2,0.02264200709760189,0.41808439046144485,0.5592736005783081
2007-09-05,-0.3270864859223366,2.0,1,0.07473780959844589,0.5234379172325134,0.40182429552078247
2007-09-06,0.9292319323867559,1.0,1,0.9540694355964661,0.021093029528856277,0.02483750320971012
2007-09-08,0.089888209477067,2.0,1,0.11861562728881836,0.8526569604873657,0.028727417811751366
2007-09-10,-0.7502781413495541,2.0,1,0.03110477700829506,0.1875123828649521,0.7813829183578491
2007-09-11,0.09091886878013611,1.0,1,0.11491361260414124,0.8610916137695312,0.023994743824005127
2007-09-17,0.005956537090241909,3.0,2,0.03696474805474281,0.9320270717144012,0.031008210964500904
2007-10-01,-0.5087222307920456,2.0,1,0.16094286739826202,0.16939207911491394,0.6696650981903076
2007-10-05,0.4386505065485835,1.5,2,0.6632441878318787,0.11216213926672935,0.22459368128329515
2007-10-08,0.3365979865193367,2.0,1,0.35400161147117615,0.6285947561264038,0.017403624951839447
2007-10-09,-0.3964529186487198,2.0,1,0.025578215718269348,0.5523905754089355,0.42203113436698914
2007-10-11,-0.007117606699466705,2.0,1,0.022525278851389885,0.9478318095207214,0.02964288555085659
2007-10-12,-0.8501120954751968,2.0,1,0.021180197596549988,0.10752750933170319,0.8712922930717468
2007-10-15,0.7942018192261457,1.0,1,0.8062534928321838,0.18169479072093964,0.012051673606038094
2007-10-22,0.6347435116767883,2.0,1,0.6709599494934082,0.29282358288764954,0.03621643781661987
2007-10-23,-0.05235433764755726,2.0,1,0.026633841916918755,0.8943779468536377,0.07898817956447601
2007-10-25,0.11549194157123566,1.0,1,0.13116849958896637,0.8531548976898193,0.015676558017730713
2007-10-29,-0.015178773552179337,2.0,1,0.044757213443517685,0.8953067660331726,0.05993598699569702
2007-10-31,0.14320071041584015,3.0,1,0.3133349120616913,0.5165308713912964,0.17013420164585114
2007-11-01,0.024135611951351166,1.0,1,0.04709285870194435,0.9299498796463013,0.022957246750593185
2007-11-04,0.04458650201559067,1.0,1,0.13010132312774658,0.7843839526176453,0.08551482111215591
2007-11-05,-0.9191031577065587,2.0,1,0.009641635231673717,0.061613522469997406,0.9287447929382324
