date,sentiment_demand,oil_relevance_demand,news_count_demand,positive_prob_demand,neutral_prob_demand,negative_prob_demand
2007-08-09,0.22125504481104705,1.8461538461538463,13,0.31733274918336135,0.5865895544680265,0.0960777043723143
2007-08-15,-0.9597333036363125,3.0,1,0.009012583643198013,0.022241592407226562,0.9687458872795105
2007-09-09,-0.9500281447544694,1.0,1,0.013824797235429287,0.0223222803324461,0.9638529419898987
2007-10-22,0.6347435116767883,1.0,1,0.6709599494934082,0.29282358288764954,0.03621643781661987
2007-10-29,0.8491070605814457,2.0,1,0.8612967133522034,0.12651364505290985,0.012189652770757675
2007-10-31,0.14320071041584015,2.0,1,0.3133349120616913,0.5165308713912964,0.17013420164585114
2007-11-14,-0.9101716298609972,1.0,1,0.014435766264796257,0.06095688045024872,0.9246073961257935
2007-12-01,0.9039308205246925,2.0,1,0.9270845651626587,0.049761660397052765,0.023153744637966156
2007-12-03,-0.24487268924713135,1.0,1,0.04181253910064697,0.6715022921562195,0.2866852283477783
2007-12-05,0.5648632030934095,1.0,1,0.5809749960899353,0.4029131829738617,0.016111792996525764
2007-12-06,-0.19416579604148865,2.0,1,0.3164699375629425,0.1728944033384323,0.5106357336044312
2007-12-08,-0.7697723787277937,2.0,1,0.01712140627205372,0.1959848254919052,0.7868937849998474
2008-01-07,-0.9153543887659907,2.0,1,0.012791258282959461,0.05906309187412262,0.9281456470489502
2008-01-10,0.9380428176373243,2.0,1,0.9538402557373047,0.030362265184521675,0.015797438099980354
2008-01-16,-0.017362749204039574,2.0,2,0.21923630684614182,0.5441646426916122,0.2365990560501814
2008-01-17,-0.9285119506530464,1.0,2,0.015707668382674456,0.04007269628345966,0.9442196190357208
2008-01-22,-0.9296737900003791,3.0,2,0.017706782557070255,0.03491261322051287,0.9473805725574493
2008-01-29,0.8992817420512438,2.0,1,0.909197211265564,0.0808873251080513,0.009915469214320183
2008-02-26,-0.9116092175245285,2.0,1,0.03535665571689606,0.017677415162324905,0.9469658732414246
2008-02-27,0.5763592524453998,1.0,1,0.5887576341629028,0.3988439738750458,0.01239838171750307
2008-04-09,0.15808629989624023,2.0,1,0.5498630404472351,0.05836024507880211,0.3917767405509949
2008-04-24,-0.9626648453995585,1.0,1,0.00769179780036211,0.021951522678136826,0.9703566431999207
2008-04-25,0.8088513240218163,1.0,1,0.8281179666519165,0.15261541306972504,0.01926664263010025
2008-05-06,0.7382123367860913,2.0,1,0.7491607666015625,0.23989082872867584,0.010948429815471172
2008-05-07,-0.9088458083570004,2.0,1,0.017431411892175674,0.056291453540325165,0.926277220249176
2008-05-20,-0.3861948102712631,2.0,1,0.1407402902841568,0.33232465386390686,0.5269351005554199
2008-05-28,-0.9527018237859011,3.0,1,0.011723382398486137,0.02385150082409382,0.9644252061843872
2008-06-09,0.15604551881551743,2.0,1,0.18510282039642334,0.785839855670929,0.029057301580905914
2008-06-10,0.8095655385404825,2.0,1,0.8311099410057068,0.1473456770181656,0.021544402465224266
2008-06-17,-0.7327790893614292,1.0,1,0.03067201003432274,0.20587694644927979,0.763451099395752
2008-06-20,0.4241025596857071,1.0,1,0.4347091317176819,0.5546843409538269,0.010606572031974792
2008-07-04,0.0912102572619915,2.0,1,0.1417696624994278,0.8076708912849426,0.050559405237436295
2008-07-22,0.45817944407463074,2.0,1,0.617608368396759,0.22296273708343506,0.1594289243221283
2008-07-27,0.8260286375880241,1.0,1,0.8859503865242004,0.05412783473730087,0.0599217489361763
