date,sentiment_supply,oil_relevance_supply,news_count_supply,positive_prob_supply,neutral_prob_supply,negative_prob_supply
2007-08-09,-0.011859960543612639,1.6666666666666667,6,0.37020576776315767,0.24772852783401808,0.3820657283067703
2007-08-15,-0.9597333036363125,1.0,1,0.009012583643198013,0.022241592407226562,0.9687458872795105
2007-09-17,0.008260993286967278,2.0,1,0.03530305251479149,0.9376549124717712,0.02704205922782421
2007-10-31,0.14320071041584015,2.0,1,0.3133349120616913,0.5165308713912964,0.17013420164585114
2007-11-14,0.06350282393395901,2.0,1,0.08889228105545044,0.8857182264328003,0.025389457121491432
2007-11-19,-0.018856212496757507,1.0,1,0.029635079205036163,0.9218736886978149,0.04849129170179367
2007-12-08,-0.7697723787277937,2.0,1,0.01712140627205372,0.1959848254919052,0.7868937849998474
2007-12-10,-0.916145846247673,1.0,1,0.022408142685890198,0.03903781622648239,0.9385539889335632
2008-01-06,0.9164062663912773,2.0,1,0.9460551738739014,0.024295911192893982,0.029648907482624054
2008-01-16,0.2562641240656376,3.0,1,0.28838759660720825,0.6794889569282532,0.03212347254157066
2008-01-22,-0.9365634378045797,1.0,1,0.018623346462845802,0.02618986926972866,0.9551867842674255
2008-02-26,-0.9116092175245285,1.0,1,0.03535665571689606,0.017677415162324905,0.9469658732414246
2008-02-29,-0.15080995485186577,2.0,1,0.04326308146119118,0.7626639008522034,0.19407303631305695
2008-04-24,-0.9626648453995585,3.0,1,0.00769179780036211,0.021951522678136826,0.9703566431999207
2008-04-25,0.8088513240218163,1.0,1,0.8281179666519165,0.15261541306972504,0.01926664263010025
2008-05-06,0.7382123367860913,1.0,1,0.7491607666015625,0.23989082872867584,0.010948429815471172
2008-05-13,-0.004564560949802399,2.0,1,0.08983912318944931,0.815757155418396,0.09440368413925171
2008-05-20,-0.3861948102712631,1.0,1,0.1407402902841568,0.33232465386390686,0.5269351005554199
2008-05-21,-0.9182427991181612,2.0,1,0.021291447803378105,0.03917431831359863,0.9395342469215393
2008-06-09,0.15604551881551743,3.0,1,0.18510282039642334,0.785839855670929,0.029057301580905914
2008-06-19,-0.8235030733048916,2.0,1,0.043830756098032,0.0888354554772377,0.8673338294029236
2008-07-02,-0.1247304379940033,2.0,1,0.38456109166145325,0.1061473861336708,0.5092915296554565
2008-07-04,0.0912102572619915,1.0,1,0.1417696624994278,0.8076708912849426,0.050559405237436295
2008-07-22,0.45817944407463074,2.0,1,0.617608368396759,0.22296273708343506,0.1594289243221283
2008-08-04,-0.010906767100095749,1.0,1,0.0382121317088604,0.9126690030097961,0.049118898808956146
2008-08-14,-0.8927442021667957,2.0,1,0.016791503876447678,0.07367284595966339,0.9095357060432434
2008-09-01,-0.9528927439823747,1.0,1,0.012271261774003506,0.022564757615327835,0.9651640057563782
2008-09-07,-0.6882198639214039,1.0,1,0.052438002079725266,0.20690417289733887,0.7406578660011292
2008-09-10,-0.25128939747810364,1.0,1,0.02951866388320923,0.6896733045578003,0.28080806136131287
2008-09-18,0.5788909792900085,1.0,1,0.766829252243042,0.04523252695798874,0.18793827295303345
2008-09-22,0.5271986722946167,2.0,1,0.6505089998245239,0.22618071734905243,0.12331032752990723
2008-09-28,-0.8041588366031647,2.0,1,0.07230660319328308,0.05122790113091469,0.8764654397964478
2008-10-02,0.027059631422162056,2.0,1,0.05155334994196892,0.9239529967308044,0.024493718519806862
2008-11-12,-0.7966220378875732,1.0,1,0.030726194381713867,0.14192552864551544,0.8273482322692871
2008-11-15,0.2639894112944603,3.0,1,0.30967390537261963,0.644641637802124,0.04568449407815933
2008-11-19,-0.9629977284930646,1.0,1,0.007345682475715876,0.02231093868613243,0.9703434109687805
2008-11-25,0.36123526096343994,1.0,1,0.6608306765556335,0.03957387059926987,0.2995954155921936
2008-12-02,-0.66065713763237,2.0,1,0.15196087956428528,0.03542109578847885,0.8126180171966553
2008-12-04,-0.6164080016314983,1.0,1,0.022190619260072708,0.33921074867248535,0.638598620891571
2008-12-12,0.07235683128237724,1.0,1,0.11513451486825943,0.8420877456665039,0.04277768358588219
2008-12-19,-0.9625721573829651,1.0,1,0.008614599704742432,0.02019876427948475,0.9711867570877075
2009-01-13,0.6972237452864647,1.0,1,0.762264609336853,0.17269451916217804,0.06504086405038834
2009-01-14,0.8327516205608845,1.0,1,0.8937039971351624,0.04534352570772171,0.06095237657427788
2009-01-21,0.025391321629285812,1.0,1,0.05051136389374733,0.9243686199188232,0.025120042264461517
2009-01-30,-0.9610534990206361,2.0,1,0.008604220114648342,0.021737992763519287,0.9696577191352844
2009-02-09,-0.9554251870140433,2.0,1,0.01074774656444788,0.023079322651028633,0.9661729335784912
2009-02-12,0.7346913367509842,2.0,1,0.8327816724777222,0.06912799179553986,0.09809033572673798
2009-02-14,0.4708874486386776,1.0,1,0.5237818360328674,0.42332372069358826,0.052894387394189835
2009-02-17,0.28395721409469843,2.0,1,0.2946460545063019,0.6946651339530945,0.01068884041160345
2009-03-02,-0.7985183000564575,1.0,1,0.08206301927566528,0.037355609238147736,0.8805813193321228
2009-03-13,-0.2179102525115013,3.0,1,0.1206214502453804,0.5408468246459961,0.3385317027568817
2009-05-08,-0.7745700664818287,1.0,1,0.02037600800395012,0.18467794358730316,0.7949460744857788
2009-05-22,0.9129066970199347,1.0,1,0.9413555860519409,0.03019546903669834,0.028448889032006264
2009-06-11,-0.9385348297655582,1.0,1,0.009186770766973495,0.04309166967868805,0.9477216005325317
2009-06-24,-0.780607134103775,1.0,1,0.06735339760780334,0.08468611538410187,0.8479605317115784
2009-07-15,0.28205764293670654,1.0,1,0.6136031746864319,0.05485132709145546,0.33154553174972534
2009-07-28,0.436119650490582,2.0,2,0.4868959840387106,0.46232763677835464,0.050776333548128605
2009-08-04,-0.9106234461069107,1.0,1,0.020153865218162537,0.04906883090734482,0.9307773113250732
2009-08-27,0.9345266092568636,1.0,1,0.9511704444885254,0.032185766845941544,0.016643835231661797
2009-09-05,-0.44359250366687775,1.0,1,0.03729011118412018,0.4818272590637207,0.4808826148509979
2009-09-10,0.04205616936087608,3.0,1,0.061873603612184525,0.9183089137077332,0.01981743425130844
2009-10-06,0.8610811866819859,2.0,1,0.8798204660415649,0.10144025832414627,0.018739279359579086
2009-10-09,0.9270383566617966,2.0,1,0.9452833533287048,0.03647169843316078,0.018244996666908264
2009-10-15,0.1612229198217392,2.0,1,0.28799065947532654,0.5852415561676025,0.12676773965358734
2009-10-20,0.08180223312228918,1.0,1,0.0925520658493042,0.8966981172561646,0.010749832727015018
2009-11-07,-0.6103697046637535,2.0,1,0.0695330873131752,0.2505641579627991,0.6799027919769287
2009-11-19,-0.27708664536476135,1.0,1,0.34275463223457336,0.03740406036376953,0.6198412775993347
