date,OilPrice,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TreasuryYield,FedFundsRate,oil_diff_target,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday
2007-01-31,1.1400000000000006,0.0,0.0,-0.1875,-0.5400000000000009,0.0,0.0,0.0,0.0,0.0,-0.04999999999999982,0.0,-0.8200000000000003,3.020000000000003,0.6300000000000026,1.826370718118315,1.7001547917144129,55.61600000000001,54.193000000000005,1.026258003801229,1,3.9299999999999997,-2.6000000000000014,1,0,0,0
2007-02-01,-0.8200000000000003,0.13907511999999977,0.7889999999999873,-0.25390000000000157,-0.10999999999999943,0.9407000000000068,-2.7999999999992724,0.0,106.4989999999998,0.0,0.009999999999999787,0.009999999999999787,1.6599999999999966,1.1400000000000006,-0.75,1.8412957394183072,1.6194982978818193,56.388,54.145,1.0414258010896666,1,3.8599999999999994,-0.9600000000000009,1,0,0,0
2007-02-02,1.6599999999999966,0.0,0.0,0.26420000000000243,-0.23000000000000043,0.0,0.0,-518.0,0.0,59.0,-0.009999999999999787,0.0,-0.3200000000000003,-0.8200000000000003,1.8900000000000006,1.808972083808926,1.5388703991120112,57.114,54.313,1.0515714469832267,1,3.6299999999999955,3.3599999999999994,1,0,0,1
2007-02-05,-0.3200000000000003,0.0,0.0,-0.10429999999999495,0.47000000000000064,0.0,0.0,0.0,0.0,0.0,-0.020000000000000462,0.0,0.21999999999999886,1.6599999999999966,-1.3700000000000045,1.5467643647304536,1.5383449753413236,58.05,54.43300000000001,1.0664486616574502,1,4.68,2.3999999999999986,1,0,1,0
2007-02-06,0.21999999999999886,0.0,0.0,-0.1343000000000103,0.09999999999999964,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,-1.1599999999999966,-0.3200000000000003,3.020000000000003,1.0212149626792588,1.5364938727676836,58.426,54.5745,1.0705732530760703,1,1.8799999999999955,2.8299999999999983,1,0,0,0
2007-02-07,-1.1599999999999966,0.0,0.0,-0.011799999999993815,-0.33000000000000007,0.0,0.0,0.0,0.0,0.0,-0.02999999999999936,0.0,2.009999999999998,0.21999999999999886,1.1400000000000006,1.105567727459515,1.5592862739761832,58.342,54.6795,1.0669812269680594,1,-0.4200000000000017,2.1000000000000014,1,0,0,0
2007-02-08,2.009999999999998,0.0,0.0,0.09300000000000352,0.11999999999999922,0.0,0.0,0.0,0.0,0.0,-0.009999999999999787,0.0,0.10000000000000142,-1.1599999999999966,-0.8200000000000003,1.3351479318787096,1.553923641692387,58.824,54.96999999999999,1.0701109696197928,1,2.4099999999999966,5.809999999999995,1,0,0,0
2007-02-09,0.10000000000000142,0.0,0.0,-0.10930000000000462,0.6600000000000001,0.0,0.0,-589.0,0.0,33.0,0.05999999999999961,0.0,-2.1000000000000014,2.009999999999998,1.6599999999999966,1.1621101496846145,1.4555696117798158,58.99400000000001,55.36750000000001,1.0654987131439924,1,0.8500000000000014,7.950000000000003,1,0,0,1
2007-02-12,-2.1000000000000014,0.0,0.0,0.23329999999999984,0.5099999999999998,0.0,0.0,0.0,0.0,0.0,0.009999999999999787,0.0,1.2199999999999989,0.10000000000000142,-0.3200000000000003,1.5557249114158966,1.5486938469494058,58.80800000000001,55.6075,1.0575551859011825,1,-0.9299999999999997,4.799999999999997,1,0,1,0
2007-02-13,1.2199999999999989,0.0,0.0,-0.23460000000000036,-1.2699999999999996,0.0,0.0,0.0,0.0,0.0,0.020000000000000462,0.0,-0.9799999999999969,-2.1000000000000014,0.21999999999999886,1.6802618843501742,1.4905840430762987,58.82199999999999,55.995000000000005,1.0504866505938026,1,0.07000000000000028,7.75,1,0,0,0
2007-02-14,-0.9799999999999969,0.0,0.0,-0.42839999999999634,-0.10999999999999943,0.0,0.0,0.0,0.0,0.0,-0.08000000000000007,0.0,-0.0799999999999983,1.2199999999999989,-1.1599999999999966,1.650484777269999,1.511518929317199,58.87199999999999,56.28000000000001,1.0460554371002129,1,0.25,5.700000000000003,1,0,0,0
2007-02-15,-0.0799999999999983,0.0,0.0,-0.11910000000000309,-0.009999999999999787,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,1.4600000000000009,-0.9799999999999969,2.009999999999998,1.2447971722332924,1.4343620441451352,58.504,56.6505,1.03271815782738,1,-1.8399999999999963,7.410000000000004,1,0,0,0
2007-02-16,1.4600000000000009,0.0,0.0,0.005200000000002092,-0.20000000000000107,0.0,0.0,3694.0,0.0,7.0,-0.009999999999999787,0.0,-1.0600000000000023,-0.0799999999999983,0.10000000000000142,1.49588769631948,1.433960287198763,58.408,57.020500000000006,1.0243333537938109,1,-0.4799999999999969,7.400000000000006,1,0,0,1
2007-02-20,-1.0600000000000023,0.0,0.0,0.15699999999999648,0.22000000000000064,0.0,0.0,0.0,0.0,0.0,-0.010000000000000675,0.0,1.0799999999999983,1.4600000000000009,-2.1000000000000014,1.1882423995128268,1.443207228800895,58.52,57.38099999999999,1.0198497760582772,1,0.5600000000000023,7.210000000000001,1,0,0,0
2007-02-21,1.0799999999999983,0.0,0.0,-0.05100000000000193,-0.040000000000000924,0.0,0.0,0.0,0.0,0.0,0.010000000000000675,0.0,0.8800000000000026,-1.0600000000000023,1.2199999999999989,1.1568405248779974,1.3652355686454767,58.604,57.670500000000004,1.0161867852714992,1,0.4200000000000017,5.789999999999999,1,0,0,0
2007-02-22,0.8800000000000026,0.0,0.0,-0.003999999999990678,-0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,1.0799999999999983,-0.9799999999999969,1.0201372456684457,1.369654585729748,59.06,57.972500000000004,1.0187588943033334,1,2.280000000000001,6.039999999999999,1,0,0,0
2007-02-23,0.0,0.0,0.0,-0.09040000000000248,0.40000000000000036,0.0,0.0,1421.0,0.0,-38.0,-0.05000000000000071,0.0,1.1299999999999955,0.8800000000000026,-0.0799999999999983,1.0102078993949726,1.3494539831471024,59.532000000000004,58.312,1.020921937165592,1,2.3599999999999994,6.789999999999999,1,0,0,1
2007-02-26,1.1299999999999955,0.0,0.0,0.052499999999994884,0.5700000000000003,0.0,0.0,0.0,0.0,0.0,-0.04999999999999982,0.0,0.05000000000000426,0.0,1.4600000000000009,0.9376993121464903,1.3137222128865675,59.938,58.6135,1.0225971832427683,1,2.029999999999994,6.029999999999994,1,0,1,0
2007-02-27,0.05000000000000426,0.0,0.0,-0.13979999999999393,7.159999999999998,0.0,0.0,0.0,0.0,0.0,-0.1299999999999999,0.0,0.3200000000000003,1.1299999999999955,-1.0600000000000023,0.5586322582880427,1.2557232137193626,60.565999999999995,58.986000000000004,1.026786017020988,1,3.1400000000000006,7.450000000000003,1,0,0,0
2007-02-28,0.3200000000000003,0.0,0.0,0.15030000000000143,-2.889999999999999,0.0,0.0,0.0,0.0,0.0,0.05999999999999961,0.0,0.18999999999999773,0.05000000000000426,1.0799999999999983,0.505796401727018,1.0903638938687537,61.04200000000001,59.2235,1.030705716480789,1,2.3800000000000026,4.75,1,0,0,0
2007-03-01,0.18999999999999773,-0.26216450999999985,1.0620000000000118,0.09720000000000084,0.40000000000000036,0.17940000000000111,12.5,0.0,101.9690000000046,0.0,0.0,0.0,-0.39000000000000057,0.3200000000000003,0.8800000000000026,0.46007608066492506,1.06947109407063,61.379999999999995,59.41350000000001,1.0330985382110123,1,1.6899999999999977,3.799999999999997,1,0,0,0
2007-03-02,-0.39000000000000057,0.0,0.0,0.033299999999997,2.789999999999999,0.0,0.0,-4897.0,0.0,-18.0,-0.040000000000000036,0.0,-1.5300000000000011,0.18999999999999773,0.0,0.5549774770204632,1.0522821064614498,61.64,59.625,1.0337945492662475,1,1.2999999999999972,4.229999999999997,1,0,0,1
2007-03-05,-1.5300000000000011,0.0,0.0,0.3024999999999949,1.0199999999999996,0.0,0.0,0.0,0.0,0.0,-0.009999999999999787,0.0,0.6099999999999994,-0.39000000000000057,1.1299999999999955,0.7523430068791773,1.0628789107642356,61.367999999999995,59.677,1.0283358747926337,1,-1.3599999999999994,1.0399999999999991,1,0,1,0
